ticker,setor,subsetor,segmento
MMXM3,Materiais Básicos,Mineração,Minerais Metálicos
MNDL3,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios
MNPR3,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
MOAR3,Financeiro,Holdings Diversificadas,Holdings Diversificadas
MOVI3,Consumo Cíclico,Diversos,Aluguel de carros
MRFG3,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
MRVE3,Consumo Cíclico,Construção Civil,Incorporações
MSPA3,Materiais Básicos,Madeira e Papel,Papel e Celulose
MTIG4,Materiais Básicos,Embalagens,Embalagens
MTSA4,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
MULT3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
MWET3,Bens Industriais,Material de Transporte,Material Rodoviário
MWET4,Bens Industriais,Material de Transporte,Material Rodoviário
MYPK3,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
NAFG4,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos
NATU3,,,
NEOE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
NEOE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
NORD3,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
